externalId;caseExternalId;title;description;status;scheduledStart;scheduledEnd;startedAt;completedAt;typeName;typeColor;assigneeEmail;teamName;notes
INT-0176;DOS-0176;Intervention 176;;planned;2026-09-15T08:00:00;2026-09-15T10:00:00;;;Pose;#2563eb;;Équipe Nord;Import historique
INT-0177;DOS-0177;Intervention 177;;in_progress;2024-10-16T09:00:00;2024-10-16T11:00:00;2024-10-16T09:15:00;;SAV;#ea580c;;;
INT-0178;DOS-0178;Intervention 178;;completed;2025-11-17T10:00:00;2025-11-17T12:00:00;2025-11-17T10:15:00;2025-11-17T11:45:00;Entretien;#16a34a;;;
INT-0179;DOS-0179;Intervention 179;;cancelled;2026-12-18T11:00:00;2026-12-18T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0180;DOS-0180;Intervention 180;Notes terrain 180;planned;2024-01-19T12:00:00;2024-01-19T14:00:00;;;Pose;#2563eb;;;
INT-0181;DOS-0181;Intervention 181;;in_progress;2025-02-20T13:00:00;2025-02-20T15:00:00;2025-02-20T13:15:00;;SAV;#ea580c;;;
INT-0182;DOS-0182;Intervention 182;;completed;2026-03-21T14:00:00;2026-03-21T16:00:00;2026-03-21T14:15:00;2026-03-21T15:45:00;Entretien;#16a34a;;;
INT-0183;DOS-0183;Intervention 183;;cancelled;2024-04-22T15:00:00;2024-04-22T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0184;DOS-0184;Intervention 184;;planned;2025-05-23T08:00:00;2025-05-23T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0185;DOS-0185;Intervention 185;Notes terrain 185;in_progress;2026-06-24T09:00:00;2026-06-24T11:00:00;2026-06-24T09:15:00;;SAV;#ea580c;;;
INT-0186;DOS-0186;Intervention 186;;completed;2024-07-25T10:00:00;2024-07-25T12:00:00;2024-07-25T10:15:00;2024-07-25T11:45:00;Entretien;#16a34a;;;
INT-0187;DOS-0187;Intervention 187;;cancelled;2025-08-26T11:00:00;2025-08-26T13:00:00;;;Diagnostic;#7c3aed;;Équipe Nord;
INT-0188;DOS-0188;Intervention 188;;planned;2026-09-27T12:00:00;2026-09-27T14:00:00;;;Pose;#2563eb;;;
INT-0189;DOS-0189;Intervention 189;;in_progress;2024-10-01T13:00:00;2024-10-01T15:00:00;2024-10-01T13:15:00;;SAV;#ea580c;;;
INT-0190;DOS-0190;Intervention 190;Notes terrain 190;completed;2025-11-02T14:00:00;2025-11-02T16:00:00;2025-11-02T14:15:00;2025-11-02T15:45:00;Entretien;#16a34a;;;
INT-0191;DOS-0191;Intervention 191;;cancelled;2026-12-03T15:00:00;2026-12-03T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0192;DOS-0192;Intervention 192;;planned;2024-01-04T08:00:00;2024-01-04T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0193;DOS-0193;Intervention 193;;in_progress;2025-02-05T09:00:00;2025-02-05T11:00:00;2025-02-05T09:15:00;;SAV;#ea580c;;;
INT-0194;DOS-0194;Intervention 194;;completed;2026-03-06T10:00:00;2026-03-06T12:00:00;2026-03-06T10:15:00;2026-03-06T11:45:00;Entretien;#16a34a;;;
INT-0195;DOS-0195;Intervention 195;Notes terrain 195;cancelled;2024-04-07T11:00:00;2024-04-07T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0196;DOS-0196;Intervention 196;;planned;2025-05-08T12:00:00;2025-05-08T14:00:00;;;Pose;#2563eb;;;
INT-0197;DOS-0197;Intervention 197;;in_progress;2026-06-09T13:00:00;2026-06-09T15:00:00;2026-06-09T13:15:00;;SAV;#ea580c;;;
INT-0198;DOS-0198;Intervention 198;;completed;2024-07-10T14:00:00;2024-07-10T16:00:00;2024-07-10T14:15:00;2024-07-10T15:45:00;Entretien;#16a34a;;Équipe Nord;
INT-0199;DOS-0199;Intervention 199;;cancelled;2025-08-11T15:00:00;2025-08-11T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0200;DOS-0200;Intervention 200;Notes terrain 200;planned;2026-09-12T08:00:00;2026-09-12T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0201;DOS-0201;Intervention 201;;in_progress;2024-10-13T09:00:00;2024-10-13T11:00:00;2024-10-13T09:15:00;;SAV;#ea580c;;;
INT-0202;DOS-0202;Intervention 202;;completed;2025-11-14T10:00:00;2025-11-14T12:00:00;2025-11-14T10:15:00;2025-11-14T11:45:00;Entretien;#16a34a;;;
INT-0203;DOS-0203;Intervention 203;;cancelled;2026-12-15T11:00:00;2026-12-15T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0204;DOS-0204;Intervention 204;;planned;2024-01-16T12:00:00;2024-01-16T14:00:00;;;Pose;#2563eb;;;
INT-0205;DOS-0205;Intervention 205;Notes terrain 205;in_progress;2025-02-17T13:00:00;2025-02-17T15:00:00;2025-02-17T13:15:00;;SAV;#ea580c;;;
INT-0206;DOS-0206;Intervention 206;;completed;2026-03-18T14:00:00;2026-03-18T16:00:00;2026-03-18T14:15:00;2026-03-18T15:45:00;Entretien;#16a34a;;;
INT-0207;DOS-0207;Intervention 207;;cancelled;2024-04-19T15:00:00;2024-04-19T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0208;DOS-0208;Intervention 208;;planned;2025-05-20T08:00:00;2025-05-20T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0209;DOS-0209;Intervention 209;;in_progress;2026-06-21T09:00:00;2026-06-21T11:00:00;2026-06-21T09:15:00;;SAV;#ea580c;;Équipe Nord;
INT-0210;DOS-0210;Intervention 210;Notes terrain 210;completed;2024-07-22T10:00:00;2024-07-22T12:00:00;2024-07-22T10:15:00;2024-07-22T11:45:00;Entretien;#16a34a;;;
INT-0211;DOS-0211;Intervention 211;;cancelled;2025-08-23T11:00:00;2025-08-23T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0212;DOS-0212;Intervention 212;;planned;2026-09-24T12:00:00;2026-09-24T14:00:00;;;Pose;#2563eb;;;
INT-0213;DOS-0213;Intervention 213;;in_progress;2024-10-25T13:00:00;2024-10-25T15:00:00;2024-10-25T13:15:00;;SAV;#ea580c;;;
INT-0214;DOS-0214;Intervention 214;;completed;2025-11-26T14:00:00;2025-11-26T16:00:00;2025-11-26T14:15:00;2025-11-26T15:45:00;Entretien;#16a34a;;;
INT-0215;DOS-0215;Intervention 215;Notes terrain 215;cancelled;2026-12-27T15:00:00;2026-12-27T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0216;DOS-0216;Intervention 216;;planned;2024-01-01T08:00:00;2024-01-01T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0217;DOS-0217;Intervention 217;;in_progress;2025-02-02T09:00:00;2025-02-02T11:00:00;2025-02-02T09:15:00;;SAV;#ea580c;;;
INT-0218;DOS-0218;Intervention 218;;completed;2026-03-03T10:00:00;2026-03-03T12:00:00;2026-03-03T10:15:00;2026-03-03T11:45:00;Entretien;#16a34a;;;
INT-0219;DOS-0219;Intervention 219;;cancelled;2024-04-04T11:00:00;2024-04-04T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0220;DOS-0220;Intervention 220;Notes terrain 220;planned;2025-05-05T12:00:00;2025-05-05T14:00:00;;;Pose;#2563eb;;Équipe Nord;
INT-0221;DOS-0221;Intervention 221;;in_progress;2026-06-06T13:00:00;2026-06-06T15:00:00;2026-06-06T13:15:00;;SAV;#ea580c;;;
INT-0222;DOS-0222;Intervention 222;;completed;2024-07-07T14:00:00;2024-07-07T16:00:00;2024-07-07T14:15:00;2024-07-07T15:45:00;Entretien;#16a34a;;;
INT-0223;DOS-0223;Intervention 223;;cancelled;2025-08-08T15:00:00;2025-08-08T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0224;DOS-0224;Intervention 224;;planned;2026-09-09T08:00:00;2026-09-09T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0225;DOS-0225;Intervention 225;Notes terrain 225;in_progress;2024-10-10T09:00:00;2024-10-10T11:00:00;2024-10-10T09:15:00;;SAV;#ea580c;;;
INT-0226;DOS-0226;Intervention 226;;completed;2025-11-11T10:00:00;2025-11-11T12:00:00;2025-11-11T10:15:00;2025-11-11T11:45:00;Entretien;#16a34a;;;
INT-0227;DOS-0227;Intervention 227;;cancelled;2026-12-12T11:00:00;2026-12-12T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0228;DOS-0228;Intervention 228;;planned;2024-01-13T12:00:00;2024-01-13T14:00:00;;;Pose;#2563eb;;;
INT-0229;DOS-0229;Intervention 229;;in_progress;2025-02-14T13:00:00;2025-02-14T15:00:00;2025-02-14T13:15:00;;SAV;#ea580c;;;
INT-0230;DOS-0230;Intervention 230;Notes terrain 230;completed;2026-03-15T14:00:00;2026-03-15T16:00:00;2026-03-15T14:15:00;2026-03-15T15:45:00;Entretien;#16a34a;;;
INT-0231;DOS-0231;Intervention 231;;cancelled;2024-04-16T15:00:00;2024-04-16T17:00:00;;;Diagnostic;#7c3aed;;Équipe Nord;
INT-0232;DOS-0232;Intervention 232;;planned;2025-05-17T08:00:00;2025-05-17T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0233;DOS-0233;Intervention 233;;in_progress;2026-06-18T09:00:00;2026-06-18T11:00:00;2026-06-18T09:15:00;;SAV;#ea580c;;;
INT-0234;DOS-0234;Intervention 234;;completed;2024-07-19T10:00:00;2024-07-19T12:00:00;2024-07-19T10:15:00;2024-07-19T11:45:00;Entretien;#16a34a;;;
INT-0235;DOS-0235;Intervention 235;Notes terrain 235;cancelled;2025-08-20T11:00:00;2025-08-20T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0236;DOS-0236;Intervention 236;;planned;2026-09-21T12:00:00;2026-09-21T14:00:00;;;Pose;#2563eb;;;
INT-0237;DOS-0237;Intervention 237;;in_progress;2024-10-22T13:00:00;2024-10-22T15:00:00;2024-10-22T13:15:00;;SAV;#ea580c;;;
INT-0238;DOS-0238;Intervention 238;;completed;2025-11-23T14:00:00;2025-11-23T16:00:00;2025-11-23T14:15:00;2025-11-23T15:45:00;Entretien;#16a34a;;;
INT-0239;DOS-0239;Intervention 239;;cancelled;2026-12-24T15:00:00;2026-12-24T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0240;DOS-0240;Intervention 240;Notes terrain 240;planned;2024-01-25T08:00:00;2024-01-25T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0241;DOS-0241;Intervention 241;;in_progress;2025-02-26T09:00:00;2025-02-26T11:00:00;2025-02-26T09:15:00;;SAV;#ea580c;;;
INT-0242;DOS-0242;Intervention 242;;completed;2026-03-27T10:00:00;2026-03-27T12:00:00;2026-03-27T10:15:00;2026-03-27T11:45:00;Entretien;#16a34a;;Équipe Nord;
INT-0243;DOS-0243;Intervention 243;;cancelled;2024-04-01T11:00:00;2024-04-01T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0244;DOS-0244;Intervention 244;;planned;2025-05-02T12:00:00;2025-05-02T14:00:00;;;Pose;#2563eb;;;
INT-0245;DOS-0245;Intervention 245;Notes terrain 245;in_progress;2026-06-03T13:00:00;2026-06-03T15:00:00;2026-06-03T13:15:00;;SAV;#ea580c;;;
INT-0246;DOS-0246;Intervention 246;;completed;2024-07-04T14:00:00;2024-07-04T16:00:00;2024-07-04T14:15:00;2024-07-04T15:45:00;Entretien;#16a34a;;;
INT-0247;DOS-0247;Intervention 247;;cancelled;2025-08-05T15:00:00;2025-08-05T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0248;DOS-0248;Intervention 248;;planned;2026-09-06T08:00:00;2026-09-06T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0249;DOS-0249;Intervention 249;;in_progress;2024-10-07T09:00:00;2024-10-07T11:00:00;2024-10-07T09:15:00;;SAV;#ea580c;;;
INT-0250;DOS-0250;Intervention 250;Notes terrain 250;completed;2025-11-08T10:00:00;2025-11-08T12:00:00;2025-11-08T10:15:00;2025-11-08T11:45:00;Entretien;#16a34a;;;
INT-0251;DOS-0251;Intervention 251;;cancelled;2026-12-09T11:00:00;2026-12-09T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0252;DOS-0252;Intervention 252;;planned;2024-01-10T12:00:00;2024-01-10T14:00:00;;;Pose;#2563eb;;;
INT-0253;DOS-0253;Intervention 253;;in_progress;2025-02-11T13:00:00;2025-02-11T15:00:00;2025-02-11T13:15:00;;SAV;#ea580c;;Équipe Nord;
INT-0254;DOS-0254;Intervention 254;;completed;2026-03-12T14:00:00;2026-03-12T16:00:00;2026-03-12T14:15:00;2026-03-12T15:45:00;Entretien;#16a34a;;;
INT-0255;DOS-0255;Intervention 255;Notes terrain 255;cancelled;2024-04-13T15:00:00;2024-04-13T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0256;DOS-0256;Intervention 256;;planned;2025-05-14T08:00:00;2025-05-14T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0257;DOS-0257;Intervention 257;;in_progress;2026-06-15T09:00:00;2026-06-15T11:00:00;2026-06-15T09:15:00;;SAV;#ea580c;;;
INT-0258;DOS-0258;Intervention 258;;completed;2024-07-16T10:00:00;2024-07-16T12:00:00;2024-07-16T10:15:00;2024-07-16T11:45:00;Entretien;#16a34a;;;
INT-0259;DOS-0259;Intervention 259;;cancelled;2025-08-17T11:00:00;2025-08-17T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0260;DOS-0260;Intervention 260;Notes terrain 260;planned;2026-09-18T12:00:00;2026-09-18T14:00:00;;;Pose;#2563eb;;;
INT-0261;DOS-0261;Intervention 261;;in_progress;2024-10-19T13:00:00;2024-10-19T15:00:00;2024-10-19T13:15:00;;SAV;#ea580c;;;
INT-0262;DOS-0262;Intervention 262;;completed;2025-11-20T14:00:00;2025-11-20T16:00:00;2025-11-20T14:15:00;2025-11-20T15:45:00;Entretien;#16a34a;;;
INT-0263;DOS-0263;Intervention 263;;cancelled;2026-12-21T15:00:00;2026-12-21T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0264;DOS-0264;Intervention 264;;planned;2024-01-22T08:00:00;2024-01-22T10:00:00;;;Pose;#2563eb;;Équipe Nord;Import historique
INT-0265;DOS-0265;Intervention 265;Notes terrain 265;in_progress;2025-02-23T09:00:00;2025-02-23T11:00:00;2025-02-23T09:15:00;;SAV;#ea580c;;;
INT-0266;DOS-0266;Intervention 266;;completed;2026-03-24T10:00:00;2026-03-24T12:00:00;2026-03-24T10:15:00;2026-03-24T11:45:00;Entretien;#16a34a;;;
INT-0267;DOS-0267;Intervention 267;;cancelled;2024-04-25T11:00:00;2024-04-25T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0268;DOS-0268;Intervention 268;;planned;2025-05-26T12:00:00;2025-05-26T14:00:00;;;Pose;#2563eb;;;
INT-0269;DOS-0269;Intervention 269;;in_progress;2026-06-27T13:00:00;2026-06-27T15:00:00;2026-06-27T13:15:00;;SAV;#ea580c;;;
INT-0270;DOS-0270;Intervention 270;Notes terrain 270;completed;2024-07-01T14:00:00;2024-07-01T16:00:00;2024-07-01T14:15:00;2024-07-01T15:45:00;Entretien;#16a34a;;;
INT-0271;DOS-0271;Intervention 271;;cancelled;2025-08-02T15:00:00;2025-08-02T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0272;DOS-0272;Intervention 272;;planned;2026-09-03T08:00:00;2026-09-03T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0273;DOS-0273;Intervention 273;;in_progress;2024-10-04T09:00:00;2024-10-04T11:00:00;2024-10-04T09:15:00;;SAV;#ea580c;;;
INT-0274;DOS-0274;Intervention 274;;completed;2025-11-05T10:00:00;2025-11-05T12:00:00;2025-11-05T10:15:00;2025-11-05T11:45:00;Entretien;#16a34a;;;
INT-0275;DOS-0275;Intervention 275;Notes terrain 275;cancelled;2026-12-06T11:00:00;2026-12-06T13:00:00;;;Diagnostic;#7c3aed;;Équipe Nord;
INT-0276;DOS-0276;Intervention 276;;planned;2024-01-07T12:00:00;2024-01-07T14:00:00;;;Pose;#2563eb;;;
INT-0277;DOS-0277;Intervention 277;;in_progress;2025-02-08T13:00:00;2025-02-08T15:00:00;2025-02-08T13:15:00;;SAV;#ea580c;;;
INT-0278;DOS-0278;Intervention 278;;completed;2026-03-09T14:00:00;2026-03-09T16:00:00;2026-03-09T14:15:00;2026-03-09T15:45:00;Entretien;#16a34a;;;
INT-0279;DOS-0279;Intervention 279;;cancelled;2024-04-10T15:00:00;2024-04-10T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0280;DOS-0280;Intervention 280;Notes terrain 280;planned;2025-05-11T08:00:00;2025-05-11T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0281;DOS-0281;Intervention 281;;in_progress;2026-06-12T09:00:00;2026-06-12T11:00:00;2026-06-12T09:15:00;;SAV;#ea580c;;;
INT-0282;DOS-0282;Intervention 282;;completed;2024-07-13T10:00:00;2024-07-13T12:00:00;2024-07-13T10:15:00;2024-07-13T11:45:00;Entretien;#16a34a;;;
INT-0283;DOS-0283;Intervention 283;;cancelled;2025-08-14T11:00:00;2025-08-14T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0284;DOS-0284;Intervention 284;;planned;2026-09-15T12:00:00;2026-09-15T14:00:00;;;Pose;#2563eb;;;
INT-0285;DOS-0285;Intervention 285;Notes terrain 285;in_progress;2024-10-16T13:00:00;2024-10-16T15:00:00;2024-10-16T13:15:00;;SAV;#ea580c;;;
INT-0286;DOS-0286;Intervention 286;;completed;2025-11-17T14:00:00;2025-11-17T16:00:00;2025-11-17T14:15:00;2025-11-17T15:45:00;Entretien;#16a34a;;Équipe Nord;
INT-0287;DOS-0287;Intervention 287;;cancelled;2026-12-18T15:00:00;2026-12-18T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0288;DOS-0288;Intervention 288;;planned;2024-01-19T08:00:00;2024-01-19T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0289;DOS-0289;Intervention 289;;in_progress;2025-02-20T09:00:00;2025-02-20T11:00:00;2025-02-20T09:15:00;;SAV;#ea580c;;;
INT-0290;DOS-0290;Intervention 290;Notes terrain 290;completed;2026-03-21T10:00:00;2026-03-21T12:00:00;2026-03-21T10:15:00;2026-03-21T11:45:00;Entretien;#16a34a;;;
INT-0291;DOS-0291;Intervention 291;;cancelled;2024-04-22T11:00:00;2024-04-22T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0292;DOS-0292;Intervention 292;;planned;2025-05-23T12:00:00;2025-05-23T14:00:00;;;Pose;#2563eb;;;
INT-0293;DOS-0293;Intervention 293;;in_progress;2026-06-24T13:00:00;2026-06-24T15:00:00;2026-06-24T13:15:00;;SAV;#ea580c;;;
INT-0294;DOS-0294;Intervention 294;;completed;2024-07-25T14:00:00;2024-07-25T16:00:00;2024-07-25T14:15:00;2024-07-25T15:45:00;Entretien;#16a34a;;;
INT-0295;DOS-0295;Intervention 295;Notes terrain 295;cancelled;2025-08-26T15:00:00;2025-08-26T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0296;DOS-0296;Intervention 296;;planned;2026-09-27T08:00:00;2026-09-27T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0297;DOS-0297;Intervention 297;;in_progress;2024-10-01T09:00:00;2024-10-01T11:00:00;2024-10-01T09:15:00;;SAV;#ea580c;;Équipe Nord;
INT-0298;DOS-0298;Intervention 298;;completed;2025-11-02T10:00:00;2025-11-02T12:00:00;2025-11-02T10:15:00;2025-11-02T11:45:00;Entretien;#16a34a;;;
INT-0299;DOS-0299;Intervention 299;;cancelled;2026-12-03T11:00:00;2026-12-03T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0300;DOS-0300;Intervention 300;Notes terrain 300;planned;2024-01-04T12:00:00;2024-01-04T14:00:00;;;Pose;#2563eb;;;
INT-0301;DOS-0301;Intervention 301;;in_progress;2025-02-05T13:00:00;2025-02-05T15:00:00;2025-02-05T13:15:00;;SAV;#ea580c;;;
INT-0302;DOS-0302;Intervention 302;;completed;2026-03-06T14:00:00;2026-03-06T16:00:00;2026-03-06T14:15:00;2026-03-06T15:45:00;Entretien;#16a34a;;;
INT-0303;DOS-0303;Intervention 303;;cancelled;2024-04-07T15:00:00;2024-04-07T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0304;DOS-0304;Intervention 304;;planned;2025-05-08T08:00:00;2025-05-08T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0305;DOS-0305;Intervention 305;Notes terrain 305;in_progress;2026-06-09T09:00:00;2026-06-09T11:00:00;2026-06-09T09:15:00;;SAV;#ea580c;;;
INT-0306;DOS-0306;Intervention 306;;completed;2024-07-10T10:00:00;2024-07-10T12:00:00;2024-07-10T10:15:00;2024-07-10T11:45:00;Entretien;#16a34a;;;
INT-0307;DOS-0307;Intervention 307;;cancelled;2025-08-11T11:00:00;2025-08-11T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0308;DOS-0308;Intervention 308;;planned;2026-09-12T12:00:00;2026-09-12T14:00:00;;;Pose;#2563eb;;Équipe Nord;
INT-0309;DOS-0309;Intervention 309;;in_progress;2024-10-13T13:00:00;2024-10-13T15:00:00;2024-10-13T13:15:00;;SAV;#ea580c;;;
INT-0310;DOS-0310;Intervention 310;Notes terrain 310;completed;2025-11-14T14:00:00;2025-11-14T16:00:00;2025-11-14T14:15:00;2025-11-14T15:45:00;Entretien;#16a34a;;;
INT-0311;DOS-0311;Intervention 311;;cancelled;2026-12-15T15:00:00;2026-12-15T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0312;DOS-0312;Intervention 312;;planned;2024-01-16T08:00:00;2024-01-16T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0313;DOS-0313;Intervention 313;;in_progress;2025-02-17T09:00:00;2025-02-17T11:00:00;2025-02-17T09:15:00;;SAV;#ea580c;;;
INT-0314;DOS-0314;Intervention 314;;completed;2026-03-18T10:00:00;2026-03-18T12:00:00;2026-03-18T10:15:00;2026-03-18T11:45:00;Entretien;#16a34a;;;
INT-0315;DOS-0315;Intervention 315;Notes terrain 315;cancelled;2024-04-19T11:00:00;2024-04-19T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0316;DOS-0316;Intervention 316;;planned;2025-05-20T12:00:00;2025-05-20T14:00:00;;;Pose;#2563eb;;;
INT-0317;DOS-0317;Intervention 317;;in_progress;2026-06-21T13:00:00;2026-06-21T15:00:00;2026-06-21T13:15:00;;SAV;#ea580c;;;
INT-0318;DOS-0318;Intervention 318;;completed;2024-07-22T14:00:00;2024-07-22T16:00:00;2024-07-22T14:15:00;2024-07-22T15:45:00;Entretien;#16a34a;;;
INT-0319;DOS-0319;Intervention 319;;cancelled;2025-08-23T15:00:00;2025-08-23T17:00:00;;;Diagnostic;#7c3aed;;Équipe Nord;
INT-0320;DOS-0320;Intervention 320;Notes terrain 320;planned;2026-09-24T08:00:00;2026-09-24T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0321;DOS-0321;Intervention 321;;in_progress;2024-10-25T09:00:00;2024-10-25T11:00:00;2024-10-25T09:15:00;;SAV;#ea580c;;;
INT-0322;DOS-0322;Intervention 322;;completed;2025-11-26T10:00:00;2025-11-26T12:00:00;2025-11-26T10:15:00;2025-11-26T11:45:00;Entretien;#16a34a;;;
INT-0323;DOS-0323;Intervention 323;;cancelled;2026-12-27T11:00:00;2026-12-27T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0324;DOS-0324;Intervention 324;;planned;2024-01-01T12:00:00;2024-01-01T14:00:00;;;Pose;#2563eb;;;
INT-0325;DOS-0325;Intervention 325;Notes terrain 325;in_progress;2025-02-02T13:00:00;2025-02-02T15:00:00;2025-02-02T13:15:00;;SAV;#ea580c;;;
INT-0326;DOS-0326;Intervention 326;;completed;2026-03-03T14:00:00;2026-03-03T16:00:00;2026-03-03T14:15:00;2026-03-03T15:45:00;Entretien;#16a34a;;;
INT-0327;DOS-0327;Intervention 327;;cancelled;2024-04-04T15:00:00;2024-04-04T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0328;DOS-0328;Intervention 328;;planned;2025-05-05T08:00:00;2025-05-05T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0329;DOS-0329;Intervention 329;;in_progress;2026-06-06T09:00:00;2026-06-06T11:00:00;2026-06-06T09:15:00;;SAV;#ea580c;;;
INT-0330;DOS-0330;Intervention 330;Notes terrain 330;completed;2024-07-07T10:00:00;2024-07-07T12:00:00;2024-07-07T10:15:00;2024-07-07T11:45:00;Entretien;#16a34a;;Équipe Nord;
INT-0331;DOS-0331;Intervention 331;;cancelled;2025-08-08T11:00:00;2025-08-08T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0332;DOS-0332;Intervention 332;;planned;2026-09-09T12:00:00;2026-09-09T14:00:00;;;Pose;#2563eb;;;
INT-0333;DOS-0333;Intervention 333;;in_progress;2024-10-10T13:00:00;2024-10-10T15:00:00;2024-10-10T13:15:00;;SAV;#ea580c;;;
INT-0334;DOS-0334;Intervention 334;;completed;2025-11-11T14:00:00;2025-11-11T16:00:00;2025-11-11T14:15:00;2025-11-11T15:45:00;Entretien;#16a34a;;;
INT-0335;DOS-0335;Intervention 335;Notes terrain 335;cancelled;2026-12-12T15:00:00;2026-12-12T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0336;DOS-0336;Intervention 336;;planned;2024-01-13T08:00:00;2024-01-13T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0337;DOS-0337;Intervention 337;;in_progress;2025-02-14T09:00:00;2025-02-14T11:00:00;2025-02-14T09:15:00;;SAV;#ea580c;;;
INT-0338;DOS-0338;Intervention 338;;completed;2026-03-15T10:00:00;2026-03-15T12:00:00;2026-03-15T10:15:00;2026-03-15T11:45:00;Entretien;#16a34a;;;
INT-0339;DOS-0339;Intervention 339;;cancelled;2024-04-16T11:00:00;2024-04-16T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0340;DOS-0340;Intervention 340;Notes terrain 340;planned;2025-05-17T12:00:00;2025-05-17T14:00:00;;;Pose;#2563eb;;;
INT-0341;DOS-0341;Intervention 341;;in_progress;2026-06-18T13:00:00;2026-06-18T15:00:00;2026-06-18T13:15:00;;SAV;#ea580c;;Équipe Nord;
INT-0342;DOS-0342;Intervention 342;;completed;2024-07-19T14:00:00;2024-07-19T16:00:00;2024-07-19T14:15:00;2024-07-19T15:45:00;Entretien;#16a34a;;;
INT-0343;DOS-0343;Intervention 343;;cancelled;2025-08-20T15:00:00;2025-08-20T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0344;DOS-0344;Intervention 344;;planned;2026-09-21T08:00:00;2026-09-21T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0345;DOS-0345;Intervention 345;Notes terrain 345;in_progress;2024-10-22T09:00:00;2024-10-22T11:00:00;2024-10-22T09:15:00;;SAV;#ea580c;;;
INT-0346;DOS-0346;Intervention 346;;completed;2025-11-23T10:00:00;2025-11-23T12:00:00;2025-11-23T10:15:00;2025-11-23T11:45:00;Entretien;#16a34a;;;
INT-0347;DOS-0347;Intervention 347;;cancelled;2026-12-24T11:00:00;2026-12-24T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0348;DOS-0348;Intervention 348;;planned;2024-01-25T12:00:00;2024-01-25T14:00:00;;;Pose;#2563eb;;;
INT-0349;DOS-0349;Intervention 349;;in_progress;2025-02-26T13:00:00;2025-02-26T15:00:00;2025-02-26T13:15:00;;SAV;#ea580c;;;
INT-0350;DOS-0350;Intervention 350;Notes terrain 350;completed;2026-03-27T14:00:00;2026-03-27T16:00:00;2026-03-27T14:15:00;2026-03-27T15:45:00;Entretien;#16a34a;;;
INT-0351;DOS-0351;Intervention 351;;cancelled;2024-04-01T15:00:00;2024-04-01T17:00:00;;;Diagnostic;#7c3aed;;;
